WRID,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
172.0,Devontez Walker (BAL),1.0,3.0,21,21.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,9.1,1.3,3.2%
173.0,Tyquan Thornton (KC),4.0,8.0,47,11.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.7,1.5,0.1%
174.0,Treylon Burks (TEN),4.0,8.0,34,8.5,13.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,7.5,1.5,4.2%
175.0,Dee Eskridge (MIA),3.0,3.0,44,14.7,30.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.4,1.2,1.0%
176.0,Terrace Marshall Jr. (PHI),3.0,6.0,41,13.7,28.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.1,1.0,0.1%
177.0,Tim Jones (MIN),3.0,5.0,41,13.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.1,0.4,0.6%
178.0,Nikko Remigio (KC),2.0,6.0,48,24.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.8,1.4,0.7%
179.0,Deven Thompkins (FA),4.0,4.0,20,5.0,12.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0,6.7,1.0,0.0%
180.0,Dan Chisena (CAR),3.0,4.0,37,12.3,23.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.7,1.1,0.0%
181.0,Cody White (SEA),2.0,3.0,44,22.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.4,1.6,0.1%
182.0,Xavier Smith (LAR),2.0,2.0,6,3.0,11.0,0.0,0.0,4.0,36.0,0.0,0.0,15.0,6.2,0.4,0.1%
183.0,Alex Bachman (LV),3.0,3.0,31,10.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.1,1.2,0.0%
184.0,Ihmir Smith-Marsette (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.4,0.1%
185.0,Allen Robinson II (FA),3.0,7.0,30,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.5,1.4%
186.0,David Bell (CLE),3.0,3.0,27,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,0.1%
187.0,Charlie Jones (CIN),1.0,1.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.5,0.7,0.1%
188.0,Jamari Thrash (CLE),3.0,7.0,22,7.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.2,0.6,1.2%
189.0,Malachi Corley (NYJ),3.0,6.0,16,5.3,10.0,0.0,0.0,2.0,26.0,0.0,1.0,7.0,5.2,0.7,14.6%
190.0,Trenton Irwin (FA),3.0,10.0,15,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,0.6,0.0%
191.0,Ronnie Bell (DET),2.0,6.0,22,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.2,0.5,0.1%
192.0,Austin Trammell (JAC),2.0,3.0,40,20.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0%
193.0,Mason Kinsey (TEN),2.0,2.0,17,8.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.7,0.6,0.0%
194.0,Anthony Gould (IND),1.0,1.0,23,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.3,0.4,0.6%
195.0,Isaiah Hodgins (SF),2.0,2.0,12,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.2,1.1,0.0%
196.0,James Proche II (TEN),3.0,3.0,21,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.1,0.3,0.0%
197.0,Grant DuBose (FA),2.0,4.0,11,5.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.1,1.0,0.0%
198.0,Chris Blair (ATL),1.0,2.0,17,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0.9,0.1%
199.0,Isaiah Williams (CIN),2.0,3.0,6,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.6,0.3,0.1%
200.0,Anthony Miller (BAL),1.0,1.0,16,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,1.3,0.0%
201.0,Casey Washington (ATL),1.0,2.0,14,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.4,1.2,0.0%
202.0,Javon Baker (NE),1.0,4.0,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.2,0.2,4.7%
203.0,Trent Taylor (SF),1.0,1.0,11,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,1.1,0.0%
204.0,Brandon Johnson (PIT),1.0,1.0,9,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.9,0.6,1.0%
205.0,Kendric Pryor (CIN),1.0,1.0,9,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,1.0,0.0%
206.0,Ramel Keyton (FA),1.0,3.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.7,0.2,0.1%
207.0,Collin Johnson (LV),1.0,2.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.6,0.2,0.0%
208.0,Jaelon Darden (FA),1.0,1.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.6,0.1,0.0%
