QBID,Player,CMP,PassingATT,PCT,PassingYDS,YardsPerThrow,PassingTD,INT,SACKS,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
69.0,Joshua Dobbs (FA),7.0,10.0,70.0,65,6.5,0.0,0.0,0.0,10.0,-5.0,0.0,0.0,4.0,2.1,0.5,0.9%
70.0,Brandon Allen (FA),17.0,30.0,56.7,72,2.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,0.1%
71.0,Zach Wilson (NO),6.0,11.0,54.5,32,2.9,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.4,0.4,0.8%
72.0,Gardner Minshew II (ARI),6.0,13.0,46.2,37,2.8,0.0,1.0,0.0,6.0,2.0,0.0,0.0,4.0,0.7,0.2,4.7%
73.0,Feleipe Franks (CAR),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,12.0,0.4,0.0,0.0%
74.0,Drew Lock (SEA),2.0,3.0,66.7,15,5.0,0.0,0.0,0.0,6.0,-5.0,0.0,0.0,5.0,0.1,0.0,1.7%
74.0,Malik Cunningham (DET),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1,0.1,1.1%
76.0,Sam Howell (DAL),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%
76.0,Will Levis (TEN),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9%
76.0,Graham Mertz (HOU),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
79.0,Stetson Bennett IV (LAR),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%
80.0,Bailey Zappe (NYJ),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
80.0,Kyle McCord (GB),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
80.0,DJ Uiagalelei (LAC),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Sam Hartman (WAS),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Garrett Greene (TB),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Connor Bazelak (TB),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Kurtis Rourke (SF),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
80.0,Cam Miller (MIA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0%
80.0,Jake Haener (KC),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
80.0,Hendon Hooker (TEN),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
80.0,Carter Bradley (JAC),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,John Rhys Plumlee (PIT),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Will Howard (PIT),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0%
80.0,Seth Henigan (IND),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Tommy DeVito (NE),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7%
80.0,Sean Clifford (CIN),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8%
80.0,Case Keenum (CHI),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6%
80.0,Ben Chappell (WAS),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Adam Froman (ATL),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Brett Smith (TB),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Hunter Cantwell (BAL),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
80.0,Erik Ainge (NYJ),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
102.0,Brett Rypien (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
102.0,Will Grier (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
104.0,Sam Ehlinger (DEN),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
104.0,Desmond Ridder (GB),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8%
104.0,Jeff Driskel (WAS),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%
104.0,Trevor Siemian (ATL),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
108.0,Logan Woodside (FA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0%
109.0,Deshaun Watson (CLE),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1%
110.0,Nick Mullens (JAC),3.0,3.0,100.0,19,6.3,0.0,0.0,0.0,12.0,-8.0,0.0,0.0,5.0,-0.1,0.0,1.0%
110.0,Jarrett Stidham (DEN),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-0.1,-0.1,4.5%
110.0,Kedon Slovis (ARI),1.0,2.0,50.0,-2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.1,-0.1,0.1%
110.0,Adrian Martinez (SF),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-0.1,-0.1,0.0%
114.0,Kyle Allen (BUF),0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,4.0,-0.3,-0.1,0.7%
115.0,Jimmy Garoppolo (LAR),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,-10.0,0.0,0.0,5.0,-1.0,-0.2,1.8%
116.0,Jalen Milroe (SEA),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,-1.6,-0.4,14.6%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
