RBID,Player,RushingATT,RushingYDS,YardsPerATT,Longest,20YardsorMore,RushingTD,TGT,REC,RecYDS,YardsPerRec,RecTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
39.0,Tyler Allgeier (ARI),143.0,514,3.6,21.0,1.0,8.0,16.0,14.0,96.0,6.9,0.0,0.0,17.0,123.0,7.2,51.7%
40.0,Blake Corum (LAR),145.0,746,5.1,48.0,5.0,6.0,14.0,8.0,36.0,4.5,0.0,0.0,17.0,122.2,7.2,70.0%
41.0,Aaron Jones Sr. (MIN),132.0,548,4.2,31.0,1.0,2.0,41.0,28.0,199.0,7.1,1.0,1.0,12.0,118.7,9.9,78.4%
42.0,Kimani Vidal (LAC),155.0,643,4.1,59.0,4.0,3.0,22.0,16.0,136.0,8.5,1.0,0.0,13.0,117.9,9.1,45.9%
43.0,J.K. Dobbins (DEN),153.0,772,5.0,41.0,5.0,4.0,14.0,11.0,37.0,3.4,0.0,0.0,10.0,115.9,11.6,62.7%
44.0,Tyjae Spears (TEN),72.0,283,3.9,41.0,2.0,2.0,50.0,45.0,264.0,5.9,0.0,0.0,13.0,111.7,8.6,51.2%
45.0,Devin Singletary (NYG),119.0,437,3.7,29.0,2.0,5.0,19.0,18.0,151.0,8.4,0.0,0.0,17.0,108.8,6.4,12.1%
46.0,Alvin Kamara (NO),131.0,471,3.6,18.0,0.0,1.0,39.0,33.0,186.0,5.6,0.0,2.0,11.0,100.7,9.2,73.8%
47.0,Ty Johnson (BUF),50.0,200,4.0,23.0,1.0,3.0,33.0,24.0,263.0,11.0,2.0,0.0,17.0,100.3,5.9,7.9%
48.0,Michael Carter (TEN),92.0,333,3.6,22.0,2.0,1.0,45.0,33.0,267.0,8.1,0.0,0.0,13.0,99.0,7.6,17.4%
49.0,Emanuel Wilson (SEA),125.0,496,4.0,15.0,0.0,3.0,17.0,15.0,99.0,6.6,0.0,0.0,17.0,94.5,5.6,38.6%
50.0,Bam Knight (ARI),82.0,269,3.3,17.0,0.0,4.0,31.0,22.0,160.0,7.3,1.0,1.0,12.0,92.9,7.7,8.0%
51.0,Chris Rodriguez Jr. (JAC),112.0,500,4.5,48.0,2.0,6.0,4.0,3.0,30.0,10.0,0.0,0.0,13.0,92.0,7.1,39.8%
52.0,Sean Tucker (TB),86.0,320,3.7,43.0,1.0,7.0,11.0,8.0,34.0,4.3,1.0,0.0,17.0,91.4,5.4,26.6%
53.0,Bhayshul Tuten (JAC),83.0,307,3.7,15.0,0.0,5.0,14.0,10.0,79.0,7.9,2.0,1.0,15.0,88.6,5.9,68.0%
54.0,Nick Chubb (FA),122.0,506,4.1,30.0,3.0,3.0,20.0,13.0,67.0,5.2,0.0,0.0,15.0,88.3,5.9,14.3%
55.0,Dylan Sampson (CLE),65.0,175,2.7,26.0,1.0,0.0,40.0,33.0,271.0,8.2,2.0,1.0,15.0,87.6,5.8,37.8%
56.0,Isiah Pacheco (DET),118.0,462,3.9,16.0,0.0,1.0,26.0,19.0,101.0,5.3,1.0,0.0,13.0,87.3,6.7,59.3%
57.0,Samaje Perine (CIN),84.0,382,4.5,32.0,2.0,3.0,21.0,17.0,87.0,5.1,0.0,2.0,15.0,77.9,5.2,4.9%
58.0,Jeremy McNichols (WAS),44.0,221,5.0,60.0,1.0,1.0,31.0,25.0,196.0,7.8,0.0,1.0,17.0,72.7,4.3,1.2%
59.0,Isaiah Davis (NYJ),43.0,236,5.5,50.0,2.0,1.0,28.0,21.0,186.0,8.9,0.0,0.0,16.0,71.2,4.5,9.2%
60.0,Justice Hill (BAL),18.0,93,5.2,71.0,1.0,2.0,27.0,21.0,169.0,8.0,1.0,0.0,10.0,65.2,6.5,6.1%
61.0,Ray Davis (BUF),58.0,275,4.7,23.0,1.0,0.0,13.0,10.0,86.0,8.6,2.0,0.0,17.0,64.1,3.8,20.1%
62.0,Brashard Smith (KC),44.0,151,3.4,14.0,0.0,0.0,35.0,25.0,172.0,6.9,1.0,0.0,17.0,63.3,3.7,16.9%
63.0,Brian Robinson Jr. (ATL),92.0,400,4.3,19.0,0.0,2.0,12.0,8.0,25.0,3.1,0.0,0.0,17.0,62.5,3.7,32.8%
64.0,Devin Neal (NO),57.0,206,3.6,21.0,1.0,2.0,19.0,17.0,104.0,6.1,0.0,0.0,9.0,60.0,6.7,32.4%
65.0,Emari Demercado (KC),44.0,312,7.1,71.0,2.0,0.0,20.0,13.0,101.0,7.8,1.0,1.0,13.0,58.3,4.5,8.2%
66.0,Kyle Juszczyk (SF),2.0,-3,-1.5,0.0,0.0,0.0,28.0,24.0,213.0,8.9,2.0,0.0,17.0,57.0,3.4,1.9%
67.0,Keaton Mitchell (LAC),59.0,341,5.8,55.0,4.0,1.0,12.0,9.0,63.0,7.0,0.0,0.0,13.0,55.4,4.3,18.3%
68.0,Ollie Gordon II (MIA),70.0,199,2.8,20.0,1.0,3.0,9.0,7.0,32.0,4.6,1.0,0.0,17.0,54.1,3.2,18.1%
69.0,Tank Bigsby (PHI),63.0,356,5.7,29.0,2.0,2.0,4.0,3.0,32.0,10.7,0.0,0.0,16.0,53.8,3.4,27.5%
70.0,Jaylen Wright (MIA),70.0,288,4.1,32.0,1.0,2.0,9.0,5.0,44.0,8.8,0.0,1.0,11.0,48.2,4.4,21.9%
71.0,Audric Estime (NO),46.0,198,4.3,32.0,1.0,1.0,13.0,12.0,103.0,8.6,0.0,0.0,7.0,48.1,6.9,9.7%
72.0,Jerome Ford (WAS),24.0,73,3.0,12.0,0.0,0.0,32.0,26.0,103.0,4.0,0.0,0.0,13.0,43.6,3.4,7.7%
73.0,Malik Davis (DAL),52.0,250,4.8,43.0,3.0,2.0,5.0,2.0,16.0,8.0,0.0,0.0,10.0,40.6,4.1,4.2%
74.0,Zavier Scott (MIN),32.0,114,3.6,11.0,0.0,0.0,16.0,14.0,98.0,7.0,1.0,1.0,11.0,39.2,3.6,0.7%
75.0,Hunter Luepke (DAL),16.0,71,4.4,9.0,0.0,0.0,15.0,13.0,109.0,8.4,1.0,0.0,17.0,37.0,2.2,0.8%
76.0,Ameer Abdullah (FA),14.0,60,4.3,14.0,0.0,1.0,17.0,16.0,99.0,6.2,0.0,1.0,13.0,35.9,2.8,0.7%
77.0,Trey Benson (ARI),29.0,160,5.5,52.0,2.0,0.0,16.0,13.0,64.0,4.9,0.0,0.0,5.0,35.4,7.1,39.7%
77.0,Tyler Badie (DEN),8.0,23,2.9,7.0,0.0,0.0,31.0,19.0,141.0,7.4,0.0,0.0,16.0,35.4,2.2,1.4%
79.0,James Conner (ARI),32.0,95,3.0,12.0,0.0,1.0,9.0,8.0,38.0,4.8,1.0,0.0,4.0,33.3,8.3,55.9%
79.0,Kendre Miller (NO),47.0,193,4.1,18.0,0.0,1.0,5.0,5.0,30.0,6.0,0.0,0.0,7.0,33.3,4.8,12.5%
81.0,Chris Brooks (GB),27.0,106,3.9,12.0,0.0,0.0,17.0,13.0,91.0,7.0,0.0,0.0,17.0,32.7,1.9,5.0%
82.0,Jaleel McLaughlin (DEN),37.0,187,5.1,16.0,0.0,1.0,6.0,4.0,27.0,6.8,0.0,0.0,8.0,31.4,3.9,2.6%
83.0,Jawhar Jordan (HOU),43.0,193,4.5,50.0,1.0,0.0,7.0,7.0,34.0,4.9,0.0,0.0,4.0,29.7,7.4,2.9%
84.0,Raheem Mostert (LV),22.0,104,4.7,37.0,1.0,0.0,12.0,12.0,70.0,5.8,0.0,0.0,12.0,29.4,2.5,0.8%
85.0,Miles Sanders (FA),20.0,117,5.9,49.0,1.0,1.0,8.0,8.0,30.0,3.8,0.0,1.0,4.0,26.7,6.7,0.7%
86.0,Jaret Patterson (LAC),41.0,159,3.9,22.0,1.0,1.0,4.0,3.0,8.0,2.7,0.0,0.0,6.0,25.7,4.3,1.1%
87.0,LeQuint Allen Jr. (JAC),23.0,94,4.1,12.0,0.0,0.0,11.0,10.0,54.0,5.4,0.0,0.0,17.0,24.8,1.5,19.5%
88.0,Rasheen Ali (BAL),7.0,24,3.4,9.0,0.0,0.0,11.0,9.0,68.0,7.6,1.0,0.0,15.0,24.2,1.6,3.0%
89.0,Dare Ogunbowale (FA),11.0,25,2.3,9.0,0.0,1.0,13.0,10.0,76.0,7.6,0.0,1.0,17.0,24.1,1.4,0.6%
90.0,Antonio Gibson (FA),25.0,106,4.2,21.0,1.0,1.0,3.0,2.0,6.0,3.0,0.0,1.0,5.0,23.2,4.6,0.8%
91.0,George Holani (SEA),22.0,73,3.3,9.0,0.0,1.0,2.0,2.0,15.0,7.5,0.0,1.0,10.0,20.8,2.1,37.2%
92.0,Jaydon Blue (DAL),38.0,129,3.4,27.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,20.4,4.1,18.0%
93.0,Raheim Sanders (CLE),27.0,92,3.4,14.0,0.0,1.0,4.0,3.0,21.0,7.0,0.0,0.0,5.0,20.3,4.1,1.4%
94.0,Will Shipley (PHI),14.0,49,3.5,20.0,1.0,0.0,12.0,9.0,56.0,6.2,0.0,1.0,15.0,17.5,1.2,4.2%
95.0,Trayveon Williams (FA),10.0,36,3.6,11.0,0.0,0.0,9.0,8.0,55.0,6.9,0.0,0.0,7.0,17.1,2.4,0.0%
96.0,Adam Prentice (DEN),10.0,44,4.4,18.0,0.0,0.0,8.0,6.0,53.0,8.8,0.0,0.0,17.0,15.7,0.9,1.0%
97.0,C.J. Ham (FA),3.0,5,1.7,3.0,0.0,2.0,2.0,2.0,11.0,5.5,0.0,0.0,11.0,15.6,1.4,0.6%
