TEID,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
93.0,Cam Grandy (CIN),5.0,5.0,28,5.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.8,1.0,0.0%
94.0,Greg Dulcich (NYG),5.0,12.0,28,5.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.8,0.9,4.0%
95.0,E.J. Jenkins (PHI),1.0,2.0,7,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.7,1.0,1.0%
96.0,Will Mallory (IND),4.0,8.0,29,7.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.9,0.7,0.6%
97.0,Dallin Holker (NO),3.0,4.0,21,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.1,0.4,1.0%
98.0,Tanner Conner (MIA),3.0,4.0,16,5.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.6,0.7,1.0%
99.0,Josiah Deguara (ARI),3.0,3.0,14,4.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.4,0.3,0.0%
100.0,Jaheim Bell (NE),2.0,3.0,20,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.3,1.1%
101.0,Ian Thomas (LV),3.0,6.0,7,2.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.7,0.7,0.0%
102.0,Shane Zylstra (DET),1.0,1.0,22,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.2,0.3,0.6%
103.0,Jack Stoll (NO),2.0,3.0,10,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.3,0.0%
104.0,Eric Tomlinson (FA),2.0,4.0,9,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.9,0.3,0.1%
105.0,Brevin Jordan (HOU),2.0,3.0,7,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,1.4,0.7%
106.0,Jared Wiley (KC),1.0,1.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.7,0.2,1.1%
107.0,Geoff Swaim (FA),1.0,1.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.7,0.2,0.0%
108.0,John Samuel Shenker (FA),1.0,1.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.7,0.2,0.1%
109.0,David Martin-Robinson (TEN),1.0,2.0,6,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.6,0.3,0.0%
110.0,Zach Davidson (BUF),1.0,2.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.5,0.6%
111.0,Jody Fortson Jr. (FA),1.0,3.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.5,0.0%
112.0,Ross Dwelley (SF),1.0,1.0,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.5,0.1,0.0%
113.0,Marcedes Lewis (FA),1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.2,0.1,0.0%
114.0,John FitzPatrick (GB),1.0,1.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.2,0.1,0.0%
115.0,Matt Orzech (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
116.0,Mitchell Fraboni (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0%
117.0,Dominique Dafney (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
118.0,Donald Parham Jr. (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1%
119.0,Tre' McKitty (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
120.0,Feleipe Franks (ATL),1.0,3.0,12,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0%
121.0,Lawrence Cager (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
122.0,Tyler Mabry (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
123.0,Sean McKeon (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
124.0,Mitchell Wilcox (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0%
125.0,Stephen Sullivan (CAR),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
126.0,Parker Hesse (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0%
127.0,Tanner McLachlan (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0%
128.0,McCallan Castles (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
129.0,Mason Taylor (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2%
130.0,Colson Yankoff (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.1%
131.0,Mason Pline (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%
