Position,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
TE,Ben Sims (GB),4.0,6.0,21.0,5.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,12.1,0.8,0.0
TE,Blake Bell (KC),5.0,9.0,26.0,5.2,8.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,11.6,0.7,0.1
TE,Payne Durham (TB),5.0,7.0,58.0,11.6,25.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.8,0.8,0.0
TE,Ian Thomas (CAR),5.0,9.0,56.0,11.2,28.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,10.6,0.9,0.0
TE,Quintin Morris (BUF),2.0,3.0,26.0,13.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,10.6,0.7,0.0
TE,Jack Stoll (PHI),5.0,8.0,38.0,7.6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.8,0.5,0.2
TE,Julian Hill (MIA),6.0,9.0,48.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,8.8,0.6,0.0
TE,Grant Calcaterra (PHI),4.0,4.0,39.0,9.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.9,0.6,0.1
TE,Peyton Hendershot (DAL),4.0,7.0,38.0,9.5,24.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,7.8,1.0,0.1
TE,Ko Kieft (TB),1.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,7.2,0.5,0.0
TE,Nate Adkins (DEN),4.0,5.0,22.0,5.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.2,0.6,0.0
TE,Charlie Woerner (ATL),3.0,3.0,32.0,10.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,6.2,0.4,0.0
TE,Greg Dulcich (DEN),3.0,4.0,25.0,8.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,2.8,5.8
