Position,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
WR,Ray-Ray McCloud III (SF),12.0,15.0,135.0,11.3,41.0,4.0,0.0,3.0,30.0,0.0,0.0,12.0,28.5,2.4,0.6
WR,Byron Pringle (WAS),14.0,22.0,161.0,11.5,26.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,28.1,1.8,0.1
WR,Tyquan Thornton (NE),13.0,23.0,91.0,7.0,15.0,0.0,0.0,3.0,51.0,0.0,0.0,9.0,27.2,3.0,1.1
WR,River Cracraft (MIA),9.0,12.0,121.0,13.4,24.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,27.1,2.7,0.1
WR,Mecole Hardman Jr. (KC),15.0,24.0,124.0,8.3,37.0,2.0,0.0,1.0,3.0,0.0,1.0,10.0,25.7,2.6,1.6
WR,Trent Sherfield (BUF),11.0,22.0,86.0,7.8,12.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,25.6,1.5,0.1
WR,Jalen Guyton (LAC),10.0,21.0,89.0,8.9,18.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,24.9,3.1,1.9
WR,Robbie Chosen (MIA),4.0,6.0,126.0,31.5,68.0,6.0,1.0,0.0,0.0,0.0,0.0,9.0,22.6,2.5,0.1
WR,Lynn Bowden Jr. (NO),11.0,16.0,83.0,7.5,17.0,0.0,0.0,5.0,32.0,0.0,0.0,15.0,22.5,1.5,0.1
WR,Xavier Hutchinson (HOU),8.0,19.0,90.0,11.3,34.0,2.0,0.0,5.0,49.0,0.0,0.0,15.0,21.9,1.5,0.2
WR,Chase Claypool (MIA),8.0,21.0,77.0,9.6,20.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,21.7,2.0,2.3
WR,Laviska Shenault Jr. (CAR),10.0,10.0,60.0,6.0,14.0,0.0,0.0,12.0,55.0,0.0,0.0,8.0,21.5,2.7,0.1
WR,Ben Skowronek (LAR),8.0,12.0,66.0,8.3,20.0,1.0,1.0,2.0,9.0,0.0,0.0,17.0,21.5,1.3,0.1
WR,Charlie Jones (CIN),7.0,9.0,64.0,9.1,35.0,2.0,0.0,2.0,13.0,0.0,0.0,11.0,20.7,1.9,0.1
WR,David Moore (TB),5.0,7.0,94.0,18.8,52.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,20.4,2.9,0.0
WR,Sterling Shepard (NYG),10.0,22.0,57.0,5.7,13.0,0.0,1.0,1.0,6.0,0.0,1.0,15.0,20.3,1.4,0.2
WR,Richie James Jr. (KC),10.0,14.0,114.0,11.4,45.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0,19.4,2.2,0.2
WR,Tim Jones (JAC),11.0,18.0,83.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.3,1.1,0.0
WR,Randall Cobb (NYJ),5.0,17.0,39.0,7.8,15.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,16.9,1.5,0.3
WR,Jason Brownlee (NYJ),5.0,8.0,56.0,11.2,24.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,16.6,2.4,0.1
WR,Isaiah McKenzie (NYG),11.0,14.0,82.0,7.5,30.0,2.0,0.0,3.0,14.0,0.0,2.0,13.0,16.6,1.3,0.1
WR,Samori Toure (GB),8.0,18.0,78.0,9.8,35.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,15.8,1.4,0.1
WR,Keith Kirkwood (NO),5.0,9.0,37.0,7.4,13.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,14.7,1.1,0.0
WR,D.J. Montgomery (IND),3.0,8.0,56.0,18.7,34.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,14.6,2.1,0.1
WR,Marquise Goodwin (CLE),4.0,13.0,67.0,16.8,57.0,4.0,0.0,4.0,33.0,0.0,0.0,12.0,14.0,1.2,0.1
WR,Lawrence Cager (NYG),4.0,5.0,36.0,9.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,13.6,1.5,0.0
WR,Jalen Brooks (DAL),6.0,6.0,64.0,10.7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,12.4,1.8,0.0
WR,Justyn Ross (KC),6.0,11.0,53.0,8.8,20.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,11.3,1.1,0.4
WR,Equanimeous St. Brown (CHI),5.0,6.0,62.0,12.4,21.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.2,1.6,0.1
WR,Velus Jones Jr. (CHI),4.0,7.0,20.0,5.0,11.0,0.0,0.0,8.0,51.0,0.0,0.0,14.0,11.1,0.8,0.1
WR,Rakim Jarrett (TB),4.0,9.0,60.0,15.0,41.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,1.0,0.0
WR,Chris Conley (SF),3.0,6.0,69.0,23.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,9.9,1.2,0.0
WR,DeAndre Carter (LV),4.0,7.0,39.0,9.8,16.0,0.0,0.0,3.0,18.0,0.0,0.0,17.0,9.7,0.6,0.1
WR,Keelan Doss (LAC),6.0,13.0,33.0,5.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.3,1.9,0.0
WR,Tyler Johnson (LAR),2.0,3.0,8.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.8,8.8,0.0
WR,Britain Covey (PHI),4.0,6.0,42.0,10.5,22.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,8.2,0.5,0.1
WR,Tylan Wallace (BAL),1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.1,0.9,0.1
WR,Simi Fehoko (LAC),1.0,2.0,9.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,7.9,1.6,0.0
WR,Devin Duvernay (JAC),4.0,9.0,18.0,4.5,10.0,0.0,0.0,4.0,15.0,0.0,0.0,13.0,7.3,0.6,0.1
WR,Elijah Cooks (JAC),3.0,4.0,38.0,12.7,23.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,6.8,0.8,0.0
WR,Marvin Jones Jr. (FA),5.0,10.0,35.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.5,1.1,0.6
WR,Zach Pascal (ARI),4.0,15.0,19.0,4.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.9,0.4,0.0
WR,Jalen Nailor (MIN),3.0,6.0,29.0,9.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,1.0,0.0
WR,Steven Sims Jr. (HOU),3.0,3.0,25.0,8.3,23.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,5.6,1.9,0.0
WR,Mike Strachan (CAR),1.0,3.0,45.0,45.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.5,1.4,0.0
WR,Trishton Jackson (MIN),2.0,4.0,9.0,4.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.9,0.8,0.0
WR,Austin Trammell (LAR),4.0,7.0,29.0,7.3,14.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,4.9,0.3,0.1
WR,Miles Boykin (PIT),3.0,4.0,17.0,5.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.7,0.3,0.0
WR,Kayshon Boutte (NE),2.0,7.0,19.0,9.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.9,0.8,0.1
WR,Willie Snead IV (SF),2.0,3.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,0.9,0.0
WR,Malik Taylor (NYJ),2.0,4.0,13.0,6.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,1.1,0.0
WR,Gunner Olszewski (NYG),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,0.3,0.1
WR,Laquon Treadwell (FA),1.0,3.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.6,0.7,0.0
WR,Erik Ezukanma (MIA),0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,2.0,2.2,1.1,0.0
WR,Collin Johnson (CHI),1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1,0.7,0.0
WR,Cody Thompson (SEA),1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.3,0.0
WR,Mason Kinsey (TEN),1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.6,0.3,0.0
WR,Colton Dowell (TEN),1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.3,0.1,0.0
