"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"98","Braelon Allen (NYJ)","18","76","4.2","15","0","1","3","2","17","8.5","0","1","4","15.3","3.8","32.2%"
"99","Terrell Jennings (NE)","23","73","3.2","11","0","1","1","1","9","9.0","0","0","6","15.2","2.5","0.6%"
"100","Alec Ingold (LAC)","2","9","4.5","6","0","0","11","8","52","6.5","0","0","17","14.1","0.8","0.7%"
"101","Austin Ekeler (FA)","14","43","3.1","6","0","0","7","5","38","7.6","0","0","3","13.1","4.4","9.6%"
"102","Trevor Etienne (CAR)","20","94","4.7","22","1","0","3","3","13","4.3","0","1","17","11.7","0.7","7.5%"
"103","Najee Harris (LAC)","15","61","4.1","7","0","0","3","3","25","8.3","0","0","3","11.6","3.9","23.7%"
"104","Kene Nwangwu (NYJ)","13","49","3.8","16","0","0","1","0","0","0","0","0","10","10.9","1.1","0.4%"
"104","Phil Mafah (DAL)","5","18","3.6","8","0","1","2","2","11","5.5","0","0","1","10.9","10.9","1.8%"
"106","Hassan Haskins (LAC)","17","47","2.8","10","0","0","4","4","13","3.3","0","0","13","10.0","0.8","0.7%"
"107","Brittain Brown (CHI)","5","37","7.4","22","1","1","1","0","0","0","0","0","2","9.7","4.9","1.6%"
"108","DJ Giddens (IND)","26","96","3.7","12","0","0","2","0","0","0","0","0","9","9.6","1.1","9.6%"
"108","Zamir White (LV)","12","32","2.7","9","0","0","6","4","24","6.0","0","0","5","9.6","1.9","0.9%"
"110","Corey Kiner (ARI)","12","58","4.8","9","0","0","3","2","15","7.5","0","0","4","9.3","2.3","1.0%"
"111","AJ Dillon (CAR)","12","60","5.0","11","0","0","3","3","21","7.0","0","1","7","9.1","1.3","1.3%"
"112","Kaleb Johnson (PIT)","28","69","2.5","9","0","0","2","1","9","9.0","0","0","10","8.8","0.9","26.8%"
"112","Ty Chandler (NO)","17","47","2.8","5","0","0","4","3","11","3.7","0","0","3","8.8","2.9","0.7%"
"114","British Brooks (HOU)","17","78","4.6","20","1","0","0","0","0","0","0","0","13","7.8","0.6","0.1%"
"115","Cam Akers (SEA)","5","19","3.8","14","0","0","1","0","0","0","0","0","4","7.2","1.8","1.0%"
"116","Khalil Herbert (FA)","16","52","3.3","7","0","0","4","1","4","4.0","0","0","5","6.6","1.3","0.6%"
"117","Tahj Brooks (CIN)","16","45","2.8","7","0","0","2","1","9","9.0","0","0","12","6.4","0.5","3.8%"
"117","Evan Hull (NO)","19","48","2.5","8","0","0","1","1","6","6.0","0","0","6","6.4","1.1","3.4%"
"119","Tyler Goodson (ATL)","9","24","2.7","6","0","0","3","2","8","4.0","0","0","11","5.2","0.5","1.0%"
"120","Reggie Gilliam (NE)","2","4","2.0","5","0","0","2","2","24","12.0","0","0","17","4.8","0.3","0.2%"
"121","Ronnie Rivers (LAR)","9","46","5.1","9","0","0","0","0","0","0","0","0","7","4.6","0.7","1.0%"
"122","Clyde Edwards-Helaire (FA)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","4.2","2.1","0.6%"
"123","Julius Chestnut (TEN)","11","40","3.6","27","1","0","2","0","0","0","0","0","17","4.0","0.2","0.9%"
"123","Nathan Carter (ATL)","9","60","6.7","12","0","0","0","0","0","0","0","1","4","4.0","1.0","0.6%"
