"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"27","Dallas Goedert (PHI)","42","52","496","11.8","61","7","2","0","0","0","0","10","103.6","10.4","84.4%"
"28","Foster Moreau (NO)","32","43","413","12.9","41","7","5","0","0","0","0","17","103.3","6.1","1.7%"
"29","Taysom Hill (NO)","23","31","187","8.1","34","2","0","39","278","6","1","8","103.3","12.9","27.8%"
"30","Dalton Kincaid (BUF)","44","75","448","10.2","29","5","2","0","0","0","0","13","100.8","7.8","86.5%"
"31","Brenton Strange (JAC)","40","53","411","10.3","30","7","2","0","0","0","1","17","91.1","5.4","44.6%"
"32","Jordan Akins (FA)","40","58","390","9.8","21","3","2","0","0","0","0","17","91.0","5.4","1.0%"
"33","Evan Engram (DEN)","47","64","365","7.8","24","2","1","0","0","0","1","9","89.5","9.9","86.6%"
"34","T.J. Hockenson (MIN)","41","62","455","11.1","34","5","0","0","0","0","0","10","86.5","8.7","93.3%"
"35","AJ Barner (SEA)","30","38","245","8.2","20","1","4","0","0","0","0","17","78.5","4.6","10.0%"
"36","Ja'Tavion Sanders (CAR)","33","43","342","10.4","46","6","1","0","0","0","0","16","73.2","4.6","24.2%"
"37","Theo Johnson (NYG)","29","43","331","11.4","35","4","1","0","0","0","0","12","68.1","5.7","21.5%"
"38","Josh Oliver (MIN)","22","28","258","11.7","28","5","3","0","0","0","0","15","65.8","4.4","1.1%"
"39","Colby Parkinson (LAR)","30","49","294","9.8","23","2","1","0","0","0","0","17","65.4","3.8","4.4%"
"40","Josh Whyle (TEN)","28","37","248","8.9","33","3","1","0","0","0","0","17","60.8","3.6","1.7%"
"41","Grant Calcaterra (PHI)","24","30","298","12.4","34","6","1","0","0","0","0","17","59.8","3.5","3.2%"
"42","Dawson Knox (BUF)","22","33","311","14.1","39","7","1","0","0","0","0","16","59.1","3.7","11.1%"
"43","Luke Schoonmaker (DAL)","27","36","241","8.9","24","3","1","0","0","0","0","17","57.1","3.4","5.5%"
"44","Tommy Tremble (CAR)","23","32","234","10.2","38","2","2","0","0","0","1","12","56.4","4.7","2.2%"
"45","Elijah Higgins (ARI)","20","24","172","8.6","23","1","2","0","0","0","0","17","49.2","2.9","2.4%"
"46","Nick Vannett (FA)","17","21","135","7.9","24","1","3","0","0","0","0","17","48.5","2.9","0.0%"
"47","Johnny Mundt (JAC)","19","27","142","7.5","20","1","2","0","0","0","0","17","45.2","2.7","0.1%"
"48","Darnell Washington (PIT)","19","25","200","10.5","29","3","1","0","0","0","0","17","45.0","2.6","3.2%"
"49","Adam Trautman (DEN)","13","22","188","14.5","37","2","2","0","0","0","0","17","43.8","2.6","0.7%"
"50","Nate Adkins (DEN)","14","15","115","8.2","16","0","3","0","0","0","0","17","43.5","2.6","1.1%"
"51","Tanner Hudson (CIN)","19","23","154","8.1","19","0","1","1","1","0","1","11","38.5","3.5","1.4%"
"52","Michael Mayer (LV)","21","32","156","7.4","29","1","0","0","0","0","0","11","36.6","3.3","15.8%"
"53","Drew Sample (CIN)","20","22","109","5.5","12","0","1","1","-4","0","0","17","36.5","2.1","0.7%"
"54","Erick All Jr. (CIN)","20","22","158","7.9","28","1","0","0","0","0","0","9","35.8","4.0","3.2%"
"55","Brock Wright (DET)","13","16","100","7.7","16","0","2","0","0","0","0","17","35.0","2.1","1.3%"
"56","Stone Smartt (NYJ)","16","19","208","13.0","31","4","0","0","0","0","1","15","34.8","2.3","5.0%"
"57","Payne Durham (TB)","11","14","115","10.5","31","2","2","0","0","0","0","16","34.5","2.2","0.9%"
"58","Cade Stover (HOU)","15","22","133","8.9","27","1","1","0","0","0","0","15","34.3","2.3","4.8%"
"59","Lucas Krull (DEN)","19","23","152","8.0","23","1","0","0","0","0","0","13","34.2","2.6","1.0%"
"60","Mo Alie-Cox (IND)","12","22","147","12.3","22","2","1","0","0","0","0","17","32.7","1.9","0.7%"
"61","Kylen Granson (PHI)","14","31","182","13.0","40","3","0","0","0","0","0","17","32.2","1.9","1.2%"
"62","Jeremy Ruckert (NYJ)","18","28","105","5.8","12","0","0","0","0","0","0","17","28.5","1.7","2.6%"
"63","Charlie Kolar (BAL)","9","11","131","14.6","55","2","1","1","2","0","0","13","28.3","2.2","0.1%"
"64","Eric Saubert (SEA)","11","14","97","8.8","17","0","1","0","0","0","0","17","26.7","1.6","1.8%"
"65","Tyler Higbee (LAR)","8","12","66","8.3","17","0","2","0","0","0","0","3","26.6","8.9","19.5%"
"66","Daniel Bellinger (NYG)","14","17","125","8.9","17","0","0","0","0","0","0","17","26.5","1.6","3.1%"
"67","Drew Ogletree (IND)","9","14","109","12.1","22","3","1","0","0","0","0","17","25.9","1.5","0.6%"
"68","Julian Hill (MIA)","12","19","100","8.3","17","0","0","0","0","0","0","16","22.0","1.4","0.6%"
"69","Luke Farrell (SF)","12","17","67","5.6","11","0","0","0","0","0","0","17","18.7","1.1","0.1%"
"70","Brevyn Spann-Ford (DAL)","9","14","88","9.8","18","0","0","0","0","0","0","17","17.8","1.0","0.1%"
"71","Harrison Bryant (PHI)","9","12","86","9.6","18","0","0","0","0","0","0","13","17.6","1.4","0.0%"
"72","Blake Whiteheart (CLE)","6","9","51","8.5","29","1","1","0","0","0","0","11","17.1","1.6","0.1%"
"73","Connor Heyward (PIT)","6","8","40","6.7","16","0","1","0","0","0","0","17","16.0","0.9","0.1%"
"74","MyCole Pruitt (FA)","6","10","40","6.7","18","0","1","0","0","0","0","12","16.0","1.3","1.0%"
"75","Kenny Yeboah (DET)","5","8","47","9.4","13","0","1","0","0","0","0","9","15.7","1.7","1.0%"
"76","Hayden Hurst (FA)","8","13","73","9.1","27","1","0","0","0","0","0","9","15.3","1.7","1.1%"
